Category,Currency,Price,Area(m2),Rooms,Municipality,Province,Date,DOP/USD rate
house,USD,67500.0,,4.0,San Felipe De Puerto Plata,Puerto Plata,2020-11-25,58.15
house,DOP,1700000.0,234.0,2.0,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,USD,3950000.0,194.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,345000.0,154.0,2.0,Club Hemingway,San Pedro De Macorís,2020-11-25,58.15
house,USD,535000.0,1089.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,430000.0,819.5,4.0,Playa Nueva Romana,La Romana,2020-11-25,58.15
house,USD,400000.0,550.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,4900000.0,12632.0,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,112500.0,196.0,3.0,Pedro Brand,Santo Domingo,2020-11-25,58.15
house,USD,900000.0,2000.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,8500000.0,1716.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,7500000.0,1432.0,6.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,3600000.0,1148.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,975000.0,864.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,165000.0,194.0,2.0,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,2650000.0,475.5,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,650000.0,757.0,4.0,Santo Domingo Oeste,Santo Domingo,2020-11-25,58.15
house,USD,195000.0,240.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,600000.0,890.0,7.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,252500.0,185.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,560000.0,950.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,1500000.0,2784.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,2300000.0,2450.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,240000.0,315.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,235000.0,325.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,298000.0,165.0,2.0,,La Romana,2020-11-25,58.15
house,USD,2450000.0,2857.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1150000.0,2378.5,4.0,Las Terrenas,Samaná,2020-11-25,58.15
house,USD,2400000.0,1900.0,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,4917000.0,3128.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,40000000.0,1200.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,580000.0,604.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,1542.0,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,4900000.0,1285.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,440000.0,750.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1550000.0,2200.0,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,14000000.0,400.0,4.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,1250000.0,1495.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,2500000.0,2590.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,295000.0,1500.0,5.0,Constanza,La Vega,2020-11-25,58.15
house,USD,575000.0,1089.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,11500000.0,868.0,4.0,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,8950000.0,230.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,950000.0,1354.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,411000.0,1279.3333333333333,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,1500000.0,1204.6666666666667,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,950000.0,1130.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,299000.0,307.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,150000.0,300.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,340000.0,325.0,3.0,Playa Nueva Romana,La Romana,2020-11-25,58.15
house,USD,850000.0,330.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,560000.0,409.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1300000.0,1677.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1850000.0,637.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,226370.0,185.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,750000.0,1250.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,700000.0,1326.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,6800000.0,264.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,500000.0,1006.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,25000000.0,1070.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,253000.0,225.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,900000.0,1000.0,4.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,300000.0,602.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1300000.0,1975.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,199744.0,316.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,4575000.0,273.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,450000.0,230.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,110000.0,301.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,585000.0,596.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,3950000.0,359.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,165500.0,122.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,9125600.0,5314.0,11.0,,La Romana,2020-11-25,58.15
house,USD,535000.0,256.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,260000.0,1400.0,4.0,Jarabacoa,La Vega,2020-11-25,58.15
house,USD,1750000.0,1000.0,,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,580000.0,750.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
