Category,Currency,Price,Area(m2),Rooms,Municipality,Province,Date,DOP/USD rate
house,USD,"67,500",1,4,San Felipe De Puerto Plata,Puerto Plata,2020-11-25,58.15
house,DOP,"1,700,000",234,2,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,USD,"3,950,000",1,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"345,000",154,2,Club Hemingway,San Pedro De Macorís,2020-11-25,58.15
house,USD,"535,000","1,089",3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"430,000",1,4,Playa Nueva Romana,La Romana,2020-11-25,58.15
house,USD,"400,000",550,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"4,900,000","12,632",6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"112,500",196,3,Pedro Brand,Santo Domingo,2020-11-25,58.15
house,USD,"900,000","2,000",5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,"8,500,000",1,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,"7,500,000",1,6,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,"3,600,000",2,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"975,000",864,5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"165,000",194,2,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,"2,650,000",1,6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"650,000",757,4,Santo Domingo Oeste,Santo Domingo,2020-11-25,58.15
house,USD,"195,000",240,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"600,000",890,7,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"252,500",185,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"560,000",950,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"1,500,000","2,784",5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"2,300,000","2,450",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"240,000",315,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"235,000",325,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"298,000",165,2,,La Romana,2020-11-25,58.15
house,USD,"2,450,000","2,857",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,150,000",1,4,Las Terrenas,Samaná,2020-11-25,58.15
house,USD,"2,400,000","1,900",6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"4,917,000","3,128",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"40,000,000","1,200",4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"580,000",604,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000","1,542",6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"4,900,000","1,285",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"440,000",750,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,550,000","2,200",6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"14,000,000",400,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"1,250,000",1,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"2,500,000","2,590",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"295,000","1,500",5,Constanza,La Vega,2020-11-25,58.15
house,USD,"575,000","1,089",3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"11,500,000",868,4,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,"8,950,000",230,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"950,000","1,354",3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"411,000",1,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"1,500,000",1,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"950,000","1,130",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"299,000",307,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"150,000",300,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"340,000",325,3,Playa Nueva Romana,La Romana,2020-11-25,58.15
house,USD,"850,000",330,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"560,000",409,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,300,000","1,677",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,850,000",637,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"226,370",185,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"750,000","1,250",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"700,000","1,326",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"6,800,000",264,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"500,000","1,006",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"25,000,000","1,070",5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"253,000",225,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"900,000","1,000",4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"300,000",602,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,300,000","1,975",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"199,744",316,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"4,575,000",1,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"450,000",230,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"110,000",301,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"585,000",596,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"3,950,000",1,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"165,500",122,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"9,125,600","5,314",11,,La Romana,2020-11-25,58.15
house,USD,"535,000",256,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"260,000","1,400",4,Jarabacoa,La Vega,2020-11-25,58.15
house,USD,"1,750,000","1,000",,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"580,000",750,5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"1,600,000","1,500",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"288,000",109,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"415,000",367,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"230,000",418,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,000,000","1,800",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"550,000",370,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,300,000","1,677",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"323,169",253,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"495,000",170,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"800,000","1,224",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"780,000",552,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"194,614",158,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",691,6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"390,000",1,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"155,000",135,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"252,500",185,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"18,500,000",588,6,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"386,500",277,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"295,000",235,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"2,500,000","2,100",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"126,000",160,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"112,400",260,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"249,044",500,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,500,000","2,392",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"199,744",1,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"127,000",92,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"6,800,000",264,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
