Dotazník,Věk,Pohlaví,Kraj,Region,Velikost místa bydliště,Vzdělání,Praktikujete orální sex?,Druh sexu a oční kontakt
1,26,Žena,Královehradecký,Čechy,1 001 až 5 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
2,29,Muž,Pardubický,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
3,63,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
4,32,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
5,33,Žena,Pardubický,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt je důležitý
6,46,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
7,55,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
8,57,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
9,32,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
10,50,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
11,33,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
12,51,Žena,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
13,55,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
14,33,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
15,59,Žena,Vysočina,Čechy,5 001 až 20 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
16,43,Muž,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
17,64,Muž,Zlínský,Morava,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
18,51,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
19,50,Muž,Královehradecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
20,54,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
21,45,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,ZŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
22,51,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,jinou
23,55,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
24,53,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
25,46,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
26,40,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
27,50,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
28,19,Žena,Liberecký,Čechy,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
29,25,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
30,50,Žena,Jihomoravský,Morava,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
31,32,Muž,Jihomoravský,Morava,20 001 až 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
32,18,Žena,Vysočina,Čechy,Do 1000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
33,43,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
34,49,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
35,34,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
36,33,Muž,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
37,43,Muž,Ústecký,Čechy,Do 1000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
38,37,Muž,Jihočeský,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
39,30,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
40,20,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,anální styk – oční kontakt není důležitý
41,33,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
42,54,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
43,41,Muž,Ústecký,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
44,54,Muž,Karlovarský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
45,60,Muž,Pardubický,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
46,42,Muž,Ústecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
47,40,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
48,39,Muž,Jihočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
49,52,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
50,35,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
