Form ID,Age,Sex,Admin region,Historical region,Resident population,Education,Do you engage in oral sex?,Kind of sex and eye contact
1,26,Female,Hradec Kralove,Bohemia,1 001 to 5 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
2,29,Male,Pardubice,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
3,63,Male,Prague,Prague,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
4,32,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
5,33,Female,Pardubice,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Anal sex – eye contact is important
6,46,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
7,55,Female,South Moravian,Moravia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
8,57,Male,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
9,32,Female,South Moravian,Moravia,100 001 and above,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
10,50,Male,Central Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
11,33,Female,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Oral sex – eye contact is important
12,51,Female,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
13,55,Male,South Moravian,Moravia,100 001 and above,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
14,33,Female,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
15,59,Female,Vysocina,Bohemia,5 001 to 20 000,Secondary,No – and I had no vaginal/anal sex,Other
16,43,Male,Moravian-Silesian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
17,64,Male,Zlin,Moravia,1 001 to 5 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
18,51,Female,South Moravian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
19,50,Male,Hradec Kralove,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
20,54,Male,Moravian-Silesian,Moravia,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
21,45,Female,South Moravian,Moravia,1 001 to 5 000,Elementary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
22,51,Male,Plzen,Bohemia,100 001 and above,University,No – and I had no vaginal/anal sex,Other
23,55,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
24,53,Female,South Moravian,Moravia,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
25,46,Female,South Bohemian,Bohemia,20 001 to 100 000,University,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
26,40,Male,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
27,50,Male,Moravian-Silesian,Moravia,5 001 to 20 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
28,19,Female,Liberec,Bohemia,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
29,25,Male,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
30,50,Female,South Moravian,Moravia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
31,32,Male,South Moravian,Moravia,20 001 to 100 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
32,18,Female,Vysocina,Bohemia,Up to 1 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
33,43,Female,Prague,Prague,100 001 and above,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
34,49,Male,Moravian-Silesian,Moravia,5 001 to 20 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
35,34,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
36,33,Male,Moravian-Silesian,Moravia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
37,43,Male,Usti nad Labem,Bohemia,Up to 1 000,Elementary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
38,37,Male,South Bohemian,Bohemia,5 001 to 20 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
39,30,Female,Usti nad Labem,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
40,20,Male,Moravian-Silesian,Moravia,5 001 to 20 000,Elementary,No – and I had no vaginal/anal sex,Anal sex – eye contact is not important
41,33,Male,South Moravian,Moravia,100 001 and above,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
42,54,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
43,41,Male,Usti nad Labem,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
44,54,Male,Karlovy Vary,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
45,60,Male,Pardubice,Bohemia,5 001 to 20 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
46,42,Male,Usti nad Labem,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
47,40,Male,South Moravian,Moravia,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
48,39,Male,South Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
49,52,Male,South Moravian,Moravia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
50,35,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
51,53,Female,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
52,20,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
53,35,Male,Central Bohemian,Bohemia,Up to 1 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
54,25,Female,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
55,61,Male,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
56,37,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
57,35,Male,Zlin,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Anal sex – eye contact is not important
58,44,Male,Moravian-Silesian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
59,37,Female,Moravian-Silesian,Moravia,1 001 to 5 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
60,31,Male,Usti nad Labem,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
61,60,Female,Moravian-Silesian,Moravia,20 001 to 100 000,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
62,23,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
63,34,Female,South Moravian,Moravia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
64,58,Female,South Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
65,47,Female,Hradec Kralove,Bohemia,5 001 to 20 000,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
66,25,Female,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
67,43,Female,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
68,32,Male,South Moravian,Moravia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
69,56,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
70,35,Male,Zlin,Moravia,1 001 to 5 000,Secondary,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
71,31,Female,Olomouc,Moravia,Up to 1 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
72,30,Male,Plzen,Bohemia,1 001 to 5 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
73,39,Male,Plzen,Bohemia,100 001 and above,Secondary,Yes – mostly because I initiated it,Anal sex – eye contact is not important
74,62,Female,Prague,Prague,100 001 and above,Apprenticeship,No – and I had no vaginal/anal sex,Other
75,25,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Other
76,65,Male,Olomouc,Moravia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
77,38,Female,Karlovy Vary,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
78,52,Male,Zlin,Moravia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
79,64,Male,Vysocina,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
80,65,Male,Prague,Prague,100 001 and above,Apprenticeship,I don’t know/remember,Other
81,43,Female,Hradec Kralove,Bohemia,5 001 to 20 000,Secondary,I don’t know/remember,Oral sex – eye contact is not important
82,28,Female,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
83,35,Female,Plzen,Bohemia,1 001 to 5 000,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
84,26,Female,South Bohemian,Bohemia,20 001 to 100 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
85,38,Female,Olomouc,Moravia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
86,37,Female,Hradec Kralove,Bohemia,Up to 1 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
87,23,Male,Zlin,Moravia,5 001 to 20 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
88,29,Female,South Moravian,Moravia,1 001 to 5 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
89,39,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
90,43,Male,Moravian-Silesian,Moravia,100 001 and above,University,I don’t know/remember,Anal sex – eye contact is important
91,48,Female,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
