Czech,English
Dotazník,Form ID
Věk,Age
Pohlaví,Sex
Kraj,Admin region
Region,Historical region
Velikost místa bydliště,Resident population
Vzdělání,Education
Praktikujete orální sex?,Do you engage in oral sex?
Druh sexu a oční kontakt,Kind of sex and eye contact
Žena,Female
Muž,Male
Čechy,Bohemia
Praha,Prague
Morava,Moravia
ZŠ,Elementary
Vyučen/a,Apprenticeship
SŠ,Secondary
VŠ,University
Do 1000 obyvatel,Up to 1 000
1 001 až 5 000 obyvatel,1 001 to 5 000
5 001 až 20 000 obyvatel,5 001 to 20 000
20 001 až 100 000 obyvatel,20 001 to 100 000
Více než 100 000 obyvatel,100 001 and above
Čechy,Bohemia
Morava,Moravia
Praha,Prague
Jihočeský,South Bohemian
Jihomoravský,South Moravian
Královehradecký,Hradec Kralove
Karlovarský,Karlovy Vary
Liberecký,Liberec
Moravskoslezský,Moravian-Silesian
Olomoucký,Olomouc
Pardubický,Pardubice
Praha,Prague
Plzeňský,Plzen
Středočeský,Central Bohemian
Ústecký,Usti nad Labem
Vysočina,Vysocina
Zlínský,Zlin
ano – spíše z vlastní iniciativy,Yes – mostly because I initiated it
ano – spíše z iniciativy partnera,Yes – mostly because my partner initiated it
ano – stejně z mé vlastní i partnerovy iniciativy,Yes – because we both equally wanted to
ne – přestože jsem měl/a vaginální/anální styk,No – although I had a vaginal/anal sex
ne – neměl/a jsem vaginální/anální styk,No – and I had no vaginal/anal sex
nevím nebo si nevzpomínám,I don’t know/remember
orální sex – oční kontakt je důležitý,Oral sex – eye contact is important
orální sex – oční kontakt není důležitý,Oral sex – eye contact is not important
vaginální styk – oční kontakt je důležitý,Vaginal sex – eye contact is important
vaginální styk – oční kontakt není důležitý,Vaginal sex – eye contact is not important
anální styk – oční kontakt je důležitý,Anal sex – eye contact is important
anální styk – oční kontakt není důležitý,Anal sex – eye contact is not important
jinou,Other
